#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,11/29/2023 10:54:30,231000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,"mm"
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
11/29/2023 10:54:49,931000,-1000.000
11/29/2023 10:54:49,932000,-1000.000
11/29/2023 10:54:49,933000,-1000.000
11/29/2023 10:54:49,934000,-1000.000
11/29/2023 10:54:49,935000,-1000.000
11/29/2023 10:54:49,936000,-1000.000
11/29/2023 10:54:49,937000,-1000.000
11/29/2023 10:54:49,938000,-1000.000
11/29/2023 10:54:49,939000,-1000.000
11/29/2023 10:54:49,940000,-1000.000
11/29/2023 10:54:49,941000,-1000.000
11/29/2023 10:54:49,942000,-1000.000
11/29/2023 10:54:49,943000,-1000.000
11/29/2023 10:54:49,944000,-1000.000
11/29/2023 10:54:49,945000,-1000.000
