#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,09/23/2023 01:07:23,435000
Sampling Rate,1ms
Data amount,10000
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01,(1)EN-CH02,(1)EN-CH03
09/23/2023 01:07:26,622000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,623000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,624000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,625000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,626000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,627000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,628000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,629000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,630000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,631000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,632000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,633000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,634000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,635000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,636000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,637000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,638000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,639000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,640000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,641000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,642000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,643000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,644000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,645000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,646000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,647000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,648000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,649000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,650000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,651000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,652000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,653000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,654000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,655000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,656000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,657000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,658000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,659000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,660000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,661000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,662000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,663000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,664000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,665000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,666000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,667000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,668000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,669000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,670000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,671000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,672000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,673000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,674000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,675000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,676000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,677000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,678000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,679000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,680000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,681000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,682000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,683000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,684000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,685000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,686000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,687000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,688000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,689000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,690000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,691000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,692000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,693000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,694000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,695000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,696000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,697000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,698000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,699000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,700000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,701000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,702000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,703000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,704000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,705000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,706000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,707000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,708000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,709000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,710000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,711000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,712000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,713000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,714000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,715000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,716000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,717000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,718000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,719000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,720000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,721000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,722000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,723000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,724000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,725000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,726000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,727000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,728000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,729000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,730000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,731000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,732000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,733000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,734000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,735000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,736000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,737000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,738000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,739000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,740000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,741000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,742000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,743000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,744000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,745000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,746000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,747000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,748000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,749000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,750000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,751000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,752000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,753000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,754000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,755000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,756000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,757000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,758000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,759000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,760000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,761000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,762000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,763000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,764000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,765000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,766000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,767000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,768000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,769000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,770000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,771000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,772000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,773000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,774000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,775000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,776000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,777000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,778000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,779000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,780000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,781000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,782000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,783000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,784000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,785000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,786000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,787000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,788000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,789000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,790000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,791000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,792000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,793000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,794000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,795000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,796000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,797000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,798000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,799000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,800000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,801000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,802000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,803000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,804000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,805000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,806000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,807000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,808000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,809000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,810000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,811000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,812000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,813000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,814000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,815000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,816000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,817000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,818000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,819000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,820000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,821000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,822000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,823000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,824000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,825000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,826000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,827000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,828000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,829000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,830000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,831000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,832000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,833000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,834000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,835000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,836000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,837000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,838000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,839000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,840000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,841000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,842000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,843000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,844000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,845000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,846000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,847000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,848000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,849000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,850000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,851000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,852000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,853000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,854000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,855000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,856000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,857000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,858000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,859000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,860000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,861000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,862000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,863000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,864000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,865000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,866000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,867000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,868000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,869000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,870000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,871000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,872000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,873000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,874000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,875000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,876000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,877000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,878000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,879000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,880000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,881000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,882000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,883000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,884000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,885000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,886000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,887000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,888000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,889000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,890000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,891000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,892000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,893000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,894000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,895000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,896000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,897000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,898000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,899000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,900000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,901000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,902000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,903000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,904000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,905000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,906000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,907000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,908000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,909000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,910000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,911000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,912000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,913000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,914000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,915000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,916000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,917000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,918000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,919000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,920000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,921000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,922000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,923000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,924000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,925000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,926000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,927000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,928000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,929000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,930000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,931000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,932000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,933000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,934000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,935000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,936000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,937000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,938000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,939000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,940000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,941000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,942000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,943000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,944000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,945000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,946000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,947000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,948000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,949000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,950000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,951000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,952000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,953000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,954000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,955000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,956000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,957000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,958000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,959000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,960000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,961000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,962000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,963000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,964000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,965000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,966000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,967000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,968000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,969000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,970000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,971000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,972000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,973000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,974000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,975000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,976000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,977000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,978000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,979000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,980000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,981000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,982000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,983000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,984000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,985000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,986000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,987000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,988000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,989000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,990000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,991000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,992000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,993000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,994000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,995000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,996000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,997000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,998000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:26,999000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,000000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,001000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,002000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,003000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,004000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,005000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,006000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,007000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,008000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,009000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,010000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,011000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,012000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,013000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,014000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,015000,-1000.000,-100000.0,-1000.000
09/23/2023 01:07:27,016000,-1000.000,-100000.0,-1000.000
